"InstanceInst.","StatusStat.","VariablesVari.","BinariesBina.","IntegersInte.","ContinuousCont.","ConstraintsCons.","Nonz.Nonz.","SubmitterSubm.","GroupGrou.","ObjectiveObje.","TagsTags."
"control30-3-2-3","easy","332","90","0","242","512","1472","Qie He","control","-17.25658927192","decomposition numerics variable_bound set_partitioning mixed_binary"
"control30-5-10-4","easy","1960","150","0","1810","3640","21460","Qie He","control","Infeasible","infeasible decomposition numerics variable_bound set_partitioning mixed_binary"
"core2536-691","easy","15293","15284","0","9","2539","177739","A. Caprara, M. Fischetti, P. Toth","core","689","binary benchmark_suitable variable_bound set_covering invariant_knapsack"
"core2586-950","open","13226","13215","0","11","2589","104678","A. Caprara, M. Fischetti, P. Toth","core","946*","binary variable_bound set_covering invariant_knapsack"
"core4284-1064","open","21714","21705","0","9","4287","245121","A. Caprara, M. Fischetti, P. Toth","core","1063.0*","binary variable_bound set_covering invariant_knapsack"
"core4872-1529","open","24656","24645","0","11","4875","218762","A. Caprara, M. Fischetti, P. Toth","core","1530.0*","binary variable_bound set_covering invariant_knapsack"
"cost266-UUE","easy","4161","171","0","3990","1446","12312","MIPLIB submission pool","network_design","25148940.55999998","benchmark decomposition benchmark_suitable aggregations set_packing mixed_binary"
"cryptanalysiskb128n5obj14","hard","48950","47830","1120","0","98021","292875","Gleb Belov","cryptanalysis","Infeasible","benchmark infeasible feasibility benchmark_suitable aggregations precedence variable_bound set_covering cardinality invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear"
"cryptanalysiskb128n5obj16","easy","48950","47830","1120","0","98021","292875","Gleb Belov","cryptanalysis","0","benchmark feasibility benchmark_suitable aggregations precedence variable_bound set_covering cardinality invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear"
"csched007","easy","1758","1457","0","301","351","6379","Tallys Yunes","csched","350.9999999999955","benchmark benchmark_suitable aggregations variable_bound set_partitioning mixed_binary general_linear"
"csched008","easy","1536","1284","0","252","351","5687","Tallys Yunes","csched","173","benchmark benchmark_suitable aggregations variable_bound set_partitioning mixed_binary general_linear"
"csched010","easy","1758","1457","0","301","351","6376","Tallys Yunes","csched","407.999999999994","benchmark_suitable aggregations variable_bound set_partitioning general_linear"
"cvrpa-n64k9vrpi","open","312726","48192","2259","262275","550111","1064702","Gleb Belov","vrp","2042.0*","indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear"
"cvrpb-n45k5vrpi","open","153202","23625","1575","128002","268835","519556","Gleb Belov","pb-","775*","indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear"
"cvrpp-n16k8vrpi","open","18294","2832","531","14931","31615","60544","Gleb Belov","vrp","450*","indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear"
"cvrpsimple2i","easy","4166","648","243","3275","7023","13248","Gleb Belov","vrp","34","indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear"
"cvs08r139-94","easy","1864","1864","0","0","2398","6456","Michael Bastubbe","cvs","-116","binary decomposition benchmark_suitable precedence set_packing invariant_knapsack"
"cvs16r106-72","easy","2848","2848","0","0","3608","9888","Michael Bastubbe","cvs","-81","binary decomposition benchmark_suitable precedence set_packing invariant_knapsack"
"cvs16r128-89","easy","3472","3472","0","0","4633","12528","Michael Bastubbe","cvs","-97","benchmark binary decomposition benchmark_suitable precedence set_packing invariant_knapsack"
"cvs16r70-62","easy","2112","2112","0","0","3278","8512","Michael Bastubbe","cvs","-42","binary decomposition benchmark_suitable precedence set_packing invariant_knapsack"
"cvs16r89-60","easy","2384","2384","0","0","3068","8368","Michael Bastubbe","cvs","-65","binary decomposition benchmark_suitable precedence set_packing invariant_knapsack"
"d20200","open","4000","4000","0","0","1502","189389","COR@L test set","–","12240*","binary decomposition set_partitioning invariant_knapsack knapsack"
"dale-cta","easy","37951","4923","0","33028","20097","105440","Jordi Castro","cta","0","decomposition numerics variable_bound mixed_binary"
"dano3_3","easy","13873","69","0","13804","3202","79655","Daniel Bienstock","dano","576.34463303","benchmark benchmark_suitable variable_bound cardinality mixed_binary"
"dano3_5","easy","13873","115","0","13758","3202","79655","Daniel Bienstock","dano","576.9249159565619","benchmark benchmark_suitable variable_bound cardinality mixed_binary"
"dano3mip","open","13873","552","0","13321","3202","79655","Daniel Bienstock","dano","664.0208333333334*","variable_bound cardinality mixed_binary"
"danoint","easy","521","56","0","465","664","3232","Daniel Bienstock","dano","65.6666666666","benchmark_suitable variable_bound cardinality mixed_binary"
"datt256","open","262144","262144","0","0","11077","1503732","Jon Dattorro","–","NA","no_solution binary set_partitioning cardinality"
"dc1c","hard","10039","8380","0","1659","1649","121158","Double-Click SAS","–","1767903.6501","mixed_binary general_linear"
"dc1l","open","37297","35638","0","1659","1653","448754","Double-Click SAS","–","1759050.4901*","mixed_binary general_linear"
"dcmulti","easy","548","75","0","473","290","1315","MIPLIB submission pool","–","188182","decomposition precedence variable_bound set_packing cardinality invariant_knapsack mixed_binary"
"decomp1","easy","10735","10735","0","0","8357","47889","Martin Berger","–","-120","binary decomposition precedence set_partitioning set_packing invariant_knapsack binpacking mixed_binary"
"decomp2","easy","14387","14387","0","0","10765","64073","Martin Berger","–","-160","benchmark binary decomposition benchmark_suitable precedence set_partitioning set_packing invariant_knapsack binpacking mixed_binary"
"dell","easy","626","105","0","521","500","4580","MIPLIB submission pool","–","Infeasible","infeasible aggregations precedence variable_bound mixed_binary"
"dfn-bwin-DBE","open","3285","2475","0","810","235","9855","MIPLIB submission pool","network_design","73623.79*","set_packing mixed_binary"
"dg012142","hard","2080","640","0","1440","6310","14795","A. Miller","–","2300867","aggregations precedence variable_bound mixed_binary"
"diameterc-mstc-v20a190d5i","easy","10613","5053","4352","1208","19686","38503","Gleb Belov","diameterc","414","indicator numerics aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear"
"diameterc-msts-v40a100d5i","easy","14629","5611","5304","3714","21131","40288","Gleb Belov","diameterc","729","indicator numerics aggregations precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear"
"disctom","easy","10000","10000","0","0","399","30000","MIPLIB submission pool","–","-5000","binary set_partitioning cardinality"
"dlr1","open","9142907","0","124217","9018690","1735470","18365107","Felix Cebulla","–","2708148.95990256*","aggregations precedence variable_bound invariant_knapsack mixed_binary general_linear"
"dlr2","open","38868107","0","532697","38335410","7132926","78091589","Felix Cebulla","–","18311711.89666227*","numerics aggregations precedence variable_bound mixed_binary general_linear"
"dolom1","hard","11612","9720","0","1892","1803","190413","Double-Click SAS","–","6609253","mixed_binary general_linear"
"drayage-100-12","easy","11090","11025","0","65","4630","41550","F. Jordan Srour","drayage","94941.5891075","benchmark_suitable precedence set_partitioning mixed_binary"
"drayage-100-23","easy","11090","11025","0","65","4630","41550","F. Jordan Srour","drayage","103333.87407","benchmark benchmark_suitable precedence set_partitioning mixed_binary"
"drayage-25-23","easy","11090","11025","0","65","4630","41550","F. Jordan Srour","drayage","101282.647018","benchmark benchmark_suitable precedence set_partitioning mixed_binary"
"drayage-25-27","easy","11090","11025","0","65","4630","41550","F. Jordan Srour","drayage","102183.505325","benchmark_suitable precedence set_partitioning mixed_binary"
"drayage-25-32","easy","11090","11025","0","65","4630","41550","F. Jordan Srour","drayage","91395.84915","benchmark_suitable precedence set_partitioning mixed_binary"
"ds","hard","67732","67732","0","0","656","1024059","MIPLIB submission pool","–","93.52","binary set_partitioning"
"ds-big","open","174997","174997","0","0","1042","4623442","Steffen Weider","–","195.498997075249*","binary set_partitioning"
"dsbmip","easy","1886","192","0","1694","1182","7366","MIPLIB submission pool","–","-305.19817501","aggregations precedence variable_bound set_partitioning mixed_binary"
"dws008-01","hard","11096","6608","0","4488","6064","56400","Philipp Leise","dws","37412.60458794508","benchmark decomposition benchmark_suitable precedence variable_bound set_partitioning set_packing mixed_binary"
"dws008-03","hard","32280","18928","0","13352","16344","165168","Philipp Leise","dws","62831.7633546923","decomposition precedence variable_bound set_partitioning set_packing invariant_knapsack mixed_binary"
"dws012-01","open","26148","15576","0","10572","14280","132936","Philipp Leise","dws","82030.55222223999*","decomposition precedence variable_bound set_partitioning set_packing mixed_binary"
"dws012-02","open","51108","30096","0","21012","26382","261120","Philipp Leise","dws","126211.9341071*","aggregations precedence variable_bound set_partitioning set_packing invariant_knapsack mixed_binary"
"dws012-03","open","76068","44616","0","31452","38484","389304","Philipp Leise","dws","140473.60932083728*","precedence variable_bound set_partitioning set_packing invariant_knapsack mixed_binary"
"eil33-2","easy","4516","4516","0","0","32","44243","J. Linderoth","eil","934.007915999999","benchmark binary benchmark_suitable set_partitioning"
"eilA101-2","easy","65832","65832","0","0","100","959373","J. Linderoth","eil","880.9201079999999","benchmark binary benchmark_suitable set_partitioning"
"eilC76-2","easy","28599","28599","0","0","75","314837","J. Linderoth","eil","762.514781999996","binary benchmark_suitable set_partitioning"
"ej","easy","3","0","3","0","1","3","Timo Berthold","–","25508","numerics general_linear"
